show_id,type,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1,Movie,Michael Johnson,"Actor C, Actor D",Australia,"September 25, 2021",2003,R,120 min,Comedies,A thrilling story of love and betrayal.
s2,TV Show,John Smith,"Actor I, Actor J",India,"September 25, 2021",2014,TV-MA,1 Season,Documentaries,A comedy full of laughter and surprises.
s3,Movie,Daniel Wilson,"Actor C, Actor D",United Kingdom,"September 25, 2021",2017,TV-MA,3 Seasons,Action & Adventure,A comedy full of laughter and surprises.
s4,Movie,Daniel Wilson,"Actor A, Actor B",India,"September 25, 2021",1990,R,1 Season,TV Mysteries,An inspiring journey of friendship and courage.
s5,Movie,Daniel Wilson,"Actor C, Actor D",Canada,"September 25, 2021",1999,R,1 Season,Romantic Movies,A documentary uncovering hidden truths.
s6,Movie,Olivia Taylor,"Actor E, Actor F",Canada,"September 25, 2021",2002,PG,3 Seasons,TV Mysteries,A comedy full of laughter and surprises.
s7,TV Show,Emma Brown,"Actor C, Actor D",Canada,"September 25, 2021",2008,TV-MA,3 Seasons,Comedies,A documentary uncovering hidden truths.
s8,Movie,Emma Brown,"Actor A, Actor B",Australia,"September 25, 2021",2017,TV-MA,3 Seasons,Documentaries,A mystery that will keep you hooked till the end.
s9,Movie,Emma Brown,"Actor K, Actor L",United Kingdom,"September 25, 2021",1994,TV-MA,90 min,Action & Adventure,A drama exploring human emotions and struggles.
s10,TV Show,Olivia Taylor,"Actor G, Actor H",India,"September 25, 2021",2000,R,1 Season,Documentaries,A drama exploring human emotions and struggles.
s11,TV Show,Emma Brown,"Actor K, Actor L",Germany,"September 25, 2021",2018,R,120 min,Comedies,A mystery that will keep you hooked till the end.
s12,Movie,Emma Brown,"Actor A, Actor B",India,"September 25, 2021",2015,R,2 Seasons,International TV Shows,A mystery that will keep you hooked till the end.
s13,TV Show,Michael Johnson,"Actor K, Actor L",Germany,"September 25, 2021",2019,PG,120 min,International TV Shows,A comedy full of laughter and surprises.
